Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
Bill McKenzie Gardens,23 Burkitt Street,,PAGE,ACT,2614,ACT,Residential,137,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-35.23567063,149.0508707," $8,522,414 "
Uniting Eabrai Weston ACT,12 Namatjira Drive,,WESTON,ACT,2611,ACT,Residential,21,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-35.33946547,149.0548444," $1,311,079 "
Goodwin Monash,27 Cockcroft Avenue,,MONASH,ACT,2904,ACT,Residential,186,,,Goodwin Aged Care Services Limited,Charitable,Major Cities of Australia,-35.41811575,149.0970956," $9,022,128 "
BaptistCare Griffith,45 Stuart Street,,GRIFFITH,ACT,2603,ACT,Residential,161,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-35.32693914,149.1408058," $9,750,065 "
Canberra Aged Care Facility,48 Archibald Street,,LYNEHAM,ACT,2602,ACT,Residential,114,,,Bunyundah Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-35.24461589,149.1223379," $5,035,678 "
Uniting Mirinjani Weston ACT,15 Conder Street,,WESTON,ACT,2611,ACT,Residential,124,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-35.34137612,149.0575374," $8,034,957 "
Fred Ward Gardens,38 Theodore Street,,CURTIN,ACT,2605,ACT,Residential,80,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,-35.32962376,149.0810296," $5,114,614 "
Jindalee Aged Care Residence,277 Goyder Street,,NARRABUNDAH,ACT,2604,ACT,Residential,169,,,Johnson Village Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-35.34166285,149.142169," $9,712,818 "
Avonlea Hostel,68-72 Macpherson Street,,NHILL,VIC,3418,Grampians,Residential,45,,,Avonlea Inc,Community Based,Outer Regional Australia,-36.335116,141.655153," $893,701 "
SCC Northcliffe Home,10-12 Northcliffe Road,,EDITHVALE,VIC,3196,Southern Metro,Residential,60,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-38.04237294,145.1130356," $1,793,545 "
SCC Corben Home,9-15 Brindisi Street,,MENTONE,VIC,3194,Southern Metro,Residential,46,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.98393195,145.0621723," $2,877,184 "
Margery Cole Residential Care Service,Matthews Crescent,,TRARALGON,VIC,3844,Gippsland,Residential,120,,,"""Yallambee"" Traralgon Village for the Aged Inc",Community Based,Inner Regional Australia,-38.19535682,146.5485063," $6,707,606 "
Manor Court Werribee Aged Care Ltd,5 Hogan Grove,,WERRIBEE,VIC,3030,Western Metro,Residential,100,,,Manor Court Werribee Aged Care Ltd,Community Based,Major Cities of Australia,-37.89658739,144.6569542," $4,946,535 "
Woorayl Lodge Hostel,71-73 McCartin Street,,LEONGATHA,VIC,3953,Gippsland,Residential,40,,,Woorayl Lodge Inc,Community Based,Inner Regional Australia,-38.47934705,145.9421297," $1,529,979 "
Dorothy Impey Home,317A O'Hea Street,,PASCOE VALE,VIC,3044,Northern Metro,Residential,92,,,Coburg Home for the Aged Inc,Community Based,Major Cities of Australia,-37.734724,144.937294," $5,105,275 "
Mercy Place Colac,83-99 Queen Street,,COLAC,VIC,3250,Barwon-South Western,Residential,109,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-38.34374761,143.5919192," $6,285,597 "
Eva Tilley Memorial Hostel,1100 Burke Road,,BALWYN NORTH,VIC,3104,Eastern Metro,Residential,120,,,Eva Tilley Memorial Home Inc,Community Based,Major Cities of Australia,-37.79134319,145.0643694," $4,728,368 "
Sunnyside House,1 Adeney Street,,CAMPERDOWN,VIC,3260,Barwon-South Western,Residential,40,,,Sunnyside House Inc,Community Based,Inner Regional Australia,-38.2374651,143.1534879," $2,086,595 "
Rose Lodge,225-233 Graham Street,,WONTHAGGI,VIC,3995,Gippsland,Residential,98,,,Wonthaggi & District Elderly Citizens Homes Inc,Community Based,Inner Regional Australia,-38.60712585,145.5827037," $5,075,257 "
Carinya Lodge Hostel,1 Carinya Crescent,,KORUMBURRA,VIC,3950,Gippsland,Residential,42,,,Carinya Lodge Homes Inc,Community Based,Inner Regional Australia,-38.43774549,145.8114715," $1,725,837 "
BlueCross Ivanhoe,250-260 Waterdale Road,,IVANHOE,VIC,3079,Northern Metro,Residential,171,,,Third Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.75825079,145.0445244," $385,810 "
Village Baxter - Lodge,8 Robinsons Road,,FRANKSTON SOUTH,VIC,3199,Southern Metro,Residential,60,,,Baptist Village Baxter Ltd,Religious,Major Cities of Australia,-38.17495539,145.1444955," $3,494,670 "
mecwacare Noel Miller Centre,9-15 Kent Street,,GLEN IRIS,VIC,3146,Southern Metro,Residential,138,,,MECWA,Community Based,Major Cities of Australia,-37.856046,145.0470514," $7,620,029 "
Montefiore Homes Community Residence,619 St Kilda Road,,MELBOURNE,VIC,3004,Southern Metro,Residential,110,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,-37.85287943,144.9820498," $5,977,939 "
Nazareth House Camberwell,16 Cornell Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,100,,,Nazareth Care,Religious,Major Cities of Australia,-37.83939361,145.0888082," $6,435,650 "
Ashleigh House Hostel,20-24 Bergen Crescent,,SALE,VIC,3850,Gippsland,Residential,75,,,Sale Elderly Citizens Village Inc,Community Based,Inner Regional Australia,-38.1052253,147.0852761," $3,994,424 "
Alcheringa Hostel,2-14 Boree Drive,,SWAN HILL,VIC,3585,Loddon-Mallee,Residential,74,,,Alcheringa Hostel Limited,Charitable,Outer Regional Australia,-35.33670714,143.5332906," $4,704,560 "
Benetas Broughton Hall,2 Berwick Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,80,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.824297,145.060194," $3,522,256 "
Rosstown Community,6 Ames Avenue,,MURRUMBEENA,VIC,3163,Southern Metro,Residential,53,,,City of Glen Eira,Local Government,Major Cities of Australia,-37.889888,145.062346," $2,350,151 "
Cohuna Retirement Village Inc,38 Augustine Street,,COHUNA,VIC,3568,Loddon-Mallee,Residential,45,,,Cohuna Retirement Village Inc,Community Based,Outer Regional Australia,-35.80014999,144.2153502," $2,013,669 "
Benetas Gladswood Lodge,15 Waxman Parade,,BRUNSWICK WEST,VIC,3055,Northern Metro,Residential,51,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.758684,144.934543," $3,213,639 "
Benetas Dalkeith Hostel,49-53 Hazelwood Road,,TRARALGON,VIC,3844,Gippsland,Residential,54,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-38.20931926,146.5206102," $3,462,357 "
Campbell Place,129 Coleman Parade,,GLEN WAVERLEY,VIC,3150,Eastern Metro,Residential,105,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87910001,145.1591122," $679,053 "
Emmy Monash Aged Care,518-526 Dandenong Road,,CAULFIELD NORTH,VIC,3161,Southern Metro,Residential,138,,,Emmy Monash Aged Care Inc,Religious,Major Cities of Australia,-37.866235,145.026589," $5,537,396 "
RSL Park Hostel,85 Overport Road,,FRANKSTON SOUTH,VIC,3199,Southern Metro,Residential,120,,,Vasey RSL Care Ltd,Community Based,Major Cities of Australia,-38.16954266,145.1234673," $6,806,122 "
AdventCare Whitehorse,163-165 Central Road,,NUNAWADING,VIC,3131,Eastern Metro,Residential,143,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Major Cities of Australia,-37.82465886,145.1674969," $7,640,188 "
AdventCare Yarra Ranges,5 Woods Point Road,,WARBURTON,VIC,3799,Eastern Metro,Residential,31,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Inner Regional Australia,-37.75230147,145.7024769," $1,208,246 "
Amaroo Gardens - Aged Care Facility,811 Burwood Highway,,FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,102,,,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.88141832,145.2742274," $7,078,016 "
Dunmunkle Lodge Hostel,1 McLeod Street,,MINYIP,VIC,3392,Grampians,Residential,36,,,Dunmunkle Lodge Inc,Community Based,Outer Regional Australia,-36.45797181,142.5947669," $1,785,607 "
Wharparilla Lodge,Hartshorn Drive,,ECHUCA WEST,VIC,3564,Loddon-Mallee,Residential,92,,,Echuca Benevolent Society Inc,Community Based,Inner Regional Australia,-36.12895616,144.7219926," $5,597,951 "
Edgarley Home,85 Jackson Street,,CASTERTON,VIC,3311,Barwon-South Western,Residential,43,,,Edgarley Home Inc,Community Based,Outer Regional Australia,-37.59057528,141.3972363," $2,405,602 "
Karingal Seymour,3 Bretonneux Street,,SEYMOUR,VIC,3660,Hume,Residential,60,,,Seymour Elderly Citizens Hostel Inc,Community Based,Inner Regional Australia,-37.01895871,145.1403824," $2,911,428 "
Mercy Place Boronia,7-9 Maryville Way,,BORONIA,VIC,3155,Eastern Metro,Residential,58,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.8648795,145.2868622," $2,468,396 "
Allambi Elderly Peoples Home,46 Anderson Street,,DIMBOOLA,VIC,3414,Grampians,Residential,12,,,Allambi Elderly Peoples Home Inc,Community Based,Outer Regional Australia,-36.44920536,142.0254205," $518,689 "
mecwacare Simon Price Centre,13-25 Strabane Avenue,,MONT ALBERT NORTH,VIC,3129,Eastern Metro,Residential,53,,,MECWA,Community Based,Major Cities of Australia,-37.80752346,145.1130577," $2,589,933 "
Jacaranda House Hostel,125 McKean Street,,BAIRNSDALE,VIC,3875,Gippsland,Residential,41,,,Bairnsdale Regional Health Service,State Government,Outer Regional Australia,-37.83277475,147.6060035," $2,305,045 "
Benetas St Paul's Terrace,2 b Towerhill Road,,FRANKSTON,VIC,3199,Southern Metro,Residential,80,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-38.162952,145.135418," $3,655,862 "
Sunnyside Lutheran Retirement Village,6 TRINITY Drive,,HORSHAM,VIC,3400,Grampians,Residential,75,,,Lutheran Church of Australia Victorian District,Religious,Outer Regional Australia,-36.70847,142.215949," $3,437,408 "
Villa Maria Catholic Homes Providence Aged Care Residence,9 GRIFFITH Street,,MADDINGLEY,VIC,3340,Grampians,Residential,58,,,Villa Maria Catholic Homes Limited,Charitable,Inner Regional Australia,-37.68739895,144.428355," $2,710,480 "
St Catherine's Hostel Wangaratta Inc,59-69 Ryley Street,,WANGARATTA,VIC,3677,Hume,Residential,69,,,St Catherine's Hostel Wangaratta Inc,Religious,Inner Regional Australia,-36.35696505,146.3230543," $4,658,398 "
Emerald Hill Residence,203 Napier Street,,SOUTH MELBOURNE,VIC,3205,Southern Metro,Residential,146,,,Claremont and Southport Aged Care Limited,Community Based,Major Cities of Australia,-37.836578,144.960677," $8,080,366 "
Mercy Place Montrose (Hostel),991 Mount Dandenong Tourist Road,,MONTROSE,VIC,3765,Eastern Metro,Residential,54,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.81400589,145.3515414," $2,755,110 "
Gorrinn House Hostel,27 Albert Street,,ARARAT,VIC,3377,Grampians,Residential,60,,,Ararat Retirement Village Inc,Community Based,Inner Regional Australia,-37.28978926,142.940777," $3,257,838 "
Melaleuca Aged Care,1 Watchorn Road,,COWES,VIC,3922,Gippsland,Residential,37,,,Phillip Island Homes for the Aged Association Inc,Community Based,Inner Regional Australia,-38.454955,145.240574," $1,140,349 "
Fairview Inc,30 Sargeant Street,,WARRAGUL,VIC,3820,Gippsland,Residential,68,,,Fairview Homes for the Aged Inc,Community Based,Inner Regional Australia,-38.17473195,145.9288754," $4,530,464 "
Benetas St Laurence Court - Eaglehawk,112 UPPER CALIFORNIA GULLY Road,,CALIFORNIA GULLY,VIC,3556,Loddon-Mallee,Residential,67,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.73558916,144.2542063," $4,166,343 "
Villa Maria Catholic Homes St Catherine's Aged Care Residence,1 Clayton Road,,BALWYN,VIC,3103,Eastern Metro,Residential,89,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.8056931,145.0969565," $4,916,875 "
Mercy Place Fernhill,18-20 Fernhill Road,,SANDRINGHAM,VIC,3191,Southern Metro,Residential,120,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.951371,145.007592," $6,665,418 "
Mayflower Brighton,7 Centre Road,,BRIGHTON EAST,VIC,3187,Southern Metro,Residential,150,,,Mayflower Brighton,Private Incorporated Body,Major Cities of Australia,-37.914631,145.008243," $8,562,440 "
Churches of Christ Care Oak Towers Aged Care Service Oakleigh,139 Atherton Road,,OAKLEIGH,VIC,3166,Eastern Metro,Residential,134,,,Churches of Christ in Queensland,Religious,Major Cities of Australia,-37.899344,145.097874," $8,983,633 "
Wannon Court Hostel,72-74 Pilleau Street,,COLERAINE,VIC,3315,Barwon-South Western,Residential,39,,,Western District Health Service,State Government,Outer Regional Australia,-37.60085845,141.6932614," $1,982,482 "
Uniting AgeWell Condare Court,8 Joffre Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,62,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.843052,145.092279," $4,321,490 "
Uniting AgeWell Strath-Haven,131-149 Condon Street,,BENDIGO,VIC,3550,Loddon-Mallee,Residential,95,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Inner Regional Australia,-36.77363926,144.3064834," $6,521,221 "
Uniting AgeWell Kalkee Nangatta,206 High Street,,BELMONT,VIC,3216,Barwon-South Western,Residential,51,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-38.17640095,144.3410227," $3,827,304 "
Uniting AgeWell Tanderra,141 Highfield Road,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,40,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.83848616,145.0839886," $2,642,139 "
Uniting AgeWell Box Hill,75 Thames Street,,BOX HILL,VIC,3128,Eastern Metro,Residential,120,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.81374123,145.1237478," $7,899,340 "
Crossley House Hostel Inc,14 Nicol Street,,YARRAM,VIC,3971,Gippsland,Residential,30,,,Yarram & District Health Service,State Government,Inner Regional Australia,-38.55762255,146.6786154," $802,339 "
Stretton Park Hostel,George Street,,MAFFRA,VIC,3860,Gippsland,Residential,42,,,Central Gippsland Health Service,State Government,Inner Regional Australia,-37.95787216,146.9854374," $1,780,117 "
Faversham House,27 Shierlaw Avenue,,CANTERBURY,VIC,3126,Eastern Metro,Residential,185,,,Boroondara Aged Services Society,Community Based,Major Cities of Australia,-37.82334213,145.0852062," $8,334,446 "
Rosebank Hostel,20 Miller Street,,YEA,VIC,3717,Hume,Residential,15,,,Yea and District Memorial Hospital,State Government,Inner Regional Australia,-37.21383296,145.4316555," $394,193 "
Mayflower Reservoir,56 Elliot Street,,RESERVOIR,VIC,3073,Northern Metro,Residential,38,,,Mayflower Reservoir,Private Incorporated Body,Major Cities of Australia,-37.70453929,144.9949769," $2,241,714 "
Hopetoun Hostel,12 Mitchell Place,,HOPETOUN,VIC,3396,Grampians,Residential,23,,,Rural Northwest Health,State Government,Remote Australia,-35.73093915,142.3655104," $1,249,235 "
Prague House,253 Cotham Road,,KEW,VIC,3101,Eastern Metro,Residential,45,,,St Vincent's Hospital (Melbourne) Limited,Charitable,Major Cities of Australia,-37.8091645,145.0519894," $1,587,809 "
Lynden Aged Care,49 Lynden Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,81,,,Lynden Aged Care Association Inc,Community Based,Major Cities of Australia,-37.84180173,145.0869114," $3,788,952 "
Southern Cross Care Newport,288 Melbourne Road,,NEWPORT,VIC,3015,Western Metro,Residential,37,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.84738018,144.8867277," $2,270,885 "
Mercy Place Abbotsford Hostel,2 Clarke Street,,ABBOTSFORD,VIC,3067,Northern Metro,Residential,35,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.80204383,145.002118," $1,863,340 "
Villa Maria Catholic Homes Willowbrooke Aged Care Residence,9a Willow Road,,UPPER FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,49,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.895267,145.304569," $2,493,850 "
Walmsley Friendship Village Aged Care,500 Greeves Drive,,KILSYTH,VIC,3137,Eastern Metro,Residential,120,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8056764,145.3098247," $7,828,729 "
Latrobe Valley Village Hostel,5 Ollerton Avenue,,MOE,VIC,3825,Gippsland,Residential,96,,,Latrobe Valley Village Inc,Community Based,Inner Regional Australia,-38.182163,146.278196," $7,398,313 "
mecwacare O'Mara House,15 Hunter Road,,TRARALGON,VIC,3844,Gippsland,Residential,67,,,MECWA,Community Based,Inner Regional Australia,-38.20875865,146.5478307," $4,072,979 "
Regis East Malvern,400 Waverley Road,,MALVERN EAST,VIC,3145,Southern Metro,Residential,155,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87800106,145.0635171," $1,931,687 "
Mitchell House Hostel,127 Vary Street,,MORWELL,VIC,3840,Gippsland,Residential,56,,,Mitchell House Inc,Community Based,Inner Regional Australia,-38.22185513,146.4270779," $2,290,271 "
Benetas Lovell House,389 Alma Road,,CAULFIELD NORTH,VIC,3161,Southern Metro,Residential,40,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.865573,145.023296," $2,676,850 "
Villa Maria Catholic Homes John R Hannah Aged Care Residence,68 Wattle Grove,,MULGRAVE,VIC,3170,Eastern Metro,Residential,74,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.93321089,145.1584779," $4,571,134 "
Coates Hostel,1 James Street,,ST ARNAUD,VIC,3478,Grampians,Residential,27,,,Alcheringa Hostel Limited,Charitable,Outer Regional Australia,-36.60894378,143.2478708," $1,496,664 "
Latvian Aged Care Facility,60 Fraser Crescent,,WANTIRNA SOUTH,VIC,3152,Eastern Metro,Residential,54,,,Latvian Friendly Society Ltd,Community Based,Major Cities of Australia,-37.87821014,145.2312511," $2,104,041 "
Benetas Dowell Court,159 Lower Heidelberg Road,,IVANHOE EAST,VIC,3079,Northern Metro,Residential,44,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.7718931,145.0528836," $2,220,081 "
Prom Country Aged Care,9 O'Connell Road,,FOSTER,VIC,3960,Gippsland,Residential,60,,,Prom Country Aged Care Inc,Community Based,Inner Regional Australia,-38.65784925,146.2072756," $3,213,978 "
Griffiths Point Lodge Hostel,Davis Point Road,,SAN REMO,VIC,3925,Gippsland,Residential,29,,,Bass Coast Health,State Government,Inner Regional Australia,-38.52575606,145.36927," $1,160,638 "
Glendale Aged Care,1 Glendale Court,,WERRIBEE,VIC,3030,Western Metro,Residential,224,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87793428,144.67853," $13,795,185 "
Rosary Home,138 Odessa Avenue,,KEILOR DOWNS,VIC,3038,Western Metro,Residential,50,,,Congregation of Dominican Sisters of Malta (VIC),Religious,Major Cities of Australia,-37.715408,144.805889," $2,108,644 "
Benetas Corowa Court,752 Esplanade,,MORNINGTON,VIC,3931,Southern Metro,Residential,120,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-38.221686,145.032531," $6,368,781 "
Lionsbrae Hostel,29 Everard Road,,RINGWOOD EAST,VIC,3135,Eastern Metro,Residential,69,,,Ringwood Area Lions Aged Care Inc,Community Based,Major Cities of Australia,-37.80397279,145.2515357," $4,884,261 "
Cumberland View Hostel,123-127 Whalley Drive,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,161,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.92274395,145.1986479," $9,133,003 "
Corpus Christi Community,855 Mickleham Road,,GREENVALE,VIC,3059,Northern Metro,Residential,88,,,Corpus Christi Community Greenvale Incorporated,Charitable,Major Cities of Australia,-37.637223,144.880831," $3,660,263 "
Elderly Chinese Home,125-129 Manningham Street,,PARKVILLE,VIC,3052,Western Metro,Residential,47,,,Elderly Chinese Home Inc,Community Based,Major Cities of Australia,-37.7836179,144.9405942," $3,319,413 "
Regis Alawarra Lodge,220 Middleborough Road,,BLACKBURN SOUTH,VIC,3130,Eastern Metro,Residential,99,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83899343,145.1378696," $6,130,267 "
Regis Milpara Lodge,220 Middleborough Road,,BLACKBURN SOUTH,VIC,3130,Eastern Metro,Residential,86,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83899343,145.1378696," $5,156,953 "
Royal Freemasons - Elizabeth Gardens Hostel,2-8 Elizabeth Street,,BURWOOD,VIC,3125,Eastern Metro,Residential,38,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.85812779,145.0957599," $2,003,946 "
St Basil's Homes for the Aged in Victoria,24 Lorne Street,,FAWKNER,VIC,3060,Northern Metro,Residential,150,,,St Basil's Homes for the Aged in Victoria,Religious,Major Cities of Australia,-37.71485033,144.975611," $9,570,480 "
mecwacare Vincent House,125 -135 KENNY Street,,WESTMEADOWS,VIC,3049,Northern Metro,Residential,30,,,MECWA,Community Based,Major Cities of Australia,-37.67524296,144.896149," $2,127,198 "
Napier Street Aged Care Services,179-197 Napier Street,,SOUTH MELBOURNE,VIC,3205,Southern Metro,Residential,62,,,179 Napier Street Hostel Association Inc,Community Based,Major Cities of Australia,-37.83690015,144.9612561," $3,287,058 "
Sacred Heart Community,43 Robe Street,,ST KILDA,VIC,3182,Southern Metro,Residential,83,,,Sacred Heart Mission Inc,Religious,Major Cities of Australia,-37.86425578,144.979141," $4,879,662 "
Barwo Homestead,8 Federation Street,,NATHALIA,VIC,3638,Hume,Residential,20,,,Nathalia and District Hostel for the Aged Association Inc,Community Based,Inner Regional Australia,-36.0556472,145.2001096," $743,997 "
Westmont Homestead,265 Baranduda Boulevard,,BARANDUDA,VIC,3691,Hume,Residential,100,,,Westmont Aged Care Services Limited,Community Based,Inner Regional Australia,-36.17209879,146.9342832," $6,700,408 "
Kirkbrae Kilsyth Hostel,794 Mt Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Residential,50,,,Presbyterian Church of Victoria Trusts Corporation,Religious,Major Cities of Australia,-37.809911,145.331096," $2,521,518 "
Benetas St Laurence Court - Kangaroo Flat,8 Wesley Street,,KANGAROO FLAT,VIC,3555,Loddon-Mallee,Residential,50,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.80222216,144.2406808," $2,807,627 "
Opal Salford Park,100 Harold Street,,WANTIRNA,VIC,3152,Eastern Metro,Residential,122,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.85522419,145.2259706," $8,171,316 "
Hillside Lodge Hostel,75 Bridge Street,,KORUMBURRA,VIC,3950,Gippsland,Residential,30,,,Gippsland Southern Health Service,State Government,Inner Regional Australia,-38.43038489,145.8294399," $1,331,104 "
Kalyna Care,344 Taylors Road,,DELAHEY,VIC,3037,Western Metro,Residential,102,,,Ukrainian Elderly People's Home,Community Based,Major Cities of Australia,-37.72412823,144.7729736," $6,675,695 "
Abbeyfield House Hostel,30 Shaw Street,,MORTLAKE,VIC,3272,Barwon-South Western,Residential,40,,,Abbeyfield Society (Mortlake) Inc,Community Based,Outer Regional Australia,-38.07922328,142.8108453," $1,980,238 "
Benetas St John's Park,14 Reay Road,,MOOROOLBARK,VIC,3138,Eastern Metro,Residential,20,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.78874798,145.3151546," $1,208,998 "
Avondrust Lodge,1105 Frankston-Dandenong Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,72,,,MiCare Ltd,Community Based,Major Cities of Australia,-38.0889427,145.1816201," $4,537,979 "
Carshalton House Hostel,11 Stoneham Street,,GOLDEN SQUARE,VIC,3555,Loddon-Mallee,Residential,45,,,Bendigo Health Care Group,State Government,Inner Regional Australia,-36.78019509,144.258675," $1,616,821 "
Strzelecki House,27 Giles Street,,MIRBOO NORTH,VIC,3871,Gippsland,Residential,60,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.40179875,146.1544666," $4,001,658 "
Blue Cross Livingstone Gardens,39 Livingstone Road,,VERMONT SOUTH,VIC,3133,Eastern Metro,Residential,210,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8549668,145.1802533," $11,005,136 "
Multicultural Aged Care Services Geelong Inc,100 Weddell Road,,NORTH GEELONG,VIC,3215,Barwon-South Western,Residential,100,,,Multicultural Aged Care Services Geelong Inc,Community Based,Major Cities of Australia,-38.12586399,144.347895," $5,875,911 "
Wintringham Williamstown Hostel,2-20 Wintringham Road,,WILLIAMSTOWN NORTH,VIC,3016,Western Metro,Residential,60,,,Wintringham,Charitable,Major Cities of Australia,-37.85503408,144.8790724," $4,445,946 "
Arpad Aged Care,9 Garrisson Grove,,WANTIRNA,VIC,3152,Eastern Metro,Residential,60,,,"""Arpad"" Elderly Welfare Society Inc",Community Based,Major Cities of Australia,-37.84715616,145.2286276," $3,103,363 "
Tannoch Brae Senior Living,46 Aldershot Road,,ST ALBANS PARK,VIC,3219,Barwon-South Western,Residential,50,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.18528726,144.3945248," $3,293,685 "
The Bays Aged Care Facility,15 Cool Store Road,,HASTINGS,VIC,3915,Southern Metro,Residential,75,,,The Bays Healthcare Group Inc.,Community Based,Major Cities of Australia,-38.303105,145.188653," $5,218,759 "
Outlook Gardens Aged Care,504 Police Road,,DANDENONG NORTH,VIC,3175,Southern Metro,Residential,95,,,Association for Christian Senior Citizens Homes Inc,Religious,Major Cities of Australia,-37.94013265,145.2112179," $4,542,545 "
Garden View Court Hostel,Lowe Street,,ARARAT,VIC,3377,Grampians,Residential,24,,,East Grampians Health Service,State Government,Inner Regional Australia,-37.27726026,142.9300519," $1,731,754 "
Mekong Vietnamese Aged Care,8 Trott Place,,KEILOR EAST,VIC,3033,Western Metro,Residential,65,,,Indochinese Elderly Refugees Association Victoria Inc,Community Based,Major Cities of Australia,-37.7361142,144.8572922," $5,083,724 "
Havilah Hostel,11 Harkness Street,,MARYBOROUGH,VIC,3465,Loddon-Mallee,Residential,110,,,Havilah Hostel Inc,Community Based,Inner Regional Australia,-37.03865075,143.7433931," $7,334,982 "
Jessie Bowe House,2 Chapel Street,,MALDON,VIC,3463,Loddon-Mallee,Residential,12,,,Maldon Hospital,State Government,Inner Regional Australia,-36.99396123,144.0650481," $379,620 "
Chelsea Lodge Hostel,8 Gosney Street,,WINCHELSEA,VIC,3241,Barwon-South Western,Residential,31,,,Winchelsea Hostel & Nursing Home Society,Community Based,Inner Regional Australia,-38.243425,143.9849397," $1,953,003 "
Southern Cross Care Dandenong,82 McCrae Street,,DANDENONG,VIC,3175,Southern Metro,Residential,120,,,Southern Cross Care (VIC),Religious,Major Cities of Australia,-37.990931,145.219926," $6,566,359 "
Sunbury Lions Community Aged Care,29 Timins Street,,SUNBURY,VIC,3429,Northern Metro,Residential,33,,,Sunbury Community Health Centre,Community Based,Major Cities of Australia,-37.58669405,144.7292423," $1,758,360 "
